object_id,title,alt_text,featured,creator,description,source_url,period,year,medium_genre,subjects,source,credit,thumbnail,dimensions
id_objeto,titulo,texto_alt,destacado,creador,descripcion,url_fuente,periodo,año,medio_genero,temas,fuente,credito,miniatura,dimensiones
# Make it lower-case and avoid spaces. If you are referring to a local object please ensure the object_id matches the name of the file exactly (with or without the file extension – it doesn't matter).,# Please provide a title — this is required.,"# Describe what the image shows for screen readers. Mention the subject and key details. Avoid ""Image of..."" — describe the content directly. If empty, the title is used.","# Mark ""yes"" to feature on homepage",# The person or organization that created the original object.,"# A brief description of the object, shown on the objects page of your published site.",# Here you can include a IIIF manifest and Telar will do the rest of the work for you.,"# The historical period this object belongs to (e.g. ""Colonial period"", ""19th century"").",# In YYYY format — for filtering and sorting chronologically.,"# The medium or genre of the object (e.g. ""Map"", ""Photograph"", ""Engraving"").",# Comma-separated terms for gallery filtering,"# This will be overlaid over the viewer, unless you specify otherwise in _config.yml.","# Attribution line shown on the published site (e.g. ""Courtesy of UCSB Library"").","# Telar generates thumbnails automatically, but you can override this by specifying an image file in this column."
"# Escríbelo en minúsculas y sin espacios. Si hace referencia a un objeto local, asegúrate de que el object_id coincida exactamente con el nombre del archivo (con o sin extensión; no importa).",# Incluye un título: este campo es obligatorio.,"# Describe lo que muestra la imagen para lectores de pantalla. Menciona el sujeto y los detalles clave. Evita ""Imagen de..."" — describe el contenido directamente. Si se deja vacío, se usa el título.","# Marca ""sí"" para destacar en la página de inicio",# La persona u organización que creó el objeto original.,"# Una breve descripción del objeto, que se muestra en la página de objetos de tu sitio publicado.",# Aquí puedes incluir un manifiesto IIIF y Telar se encargará del resto del trabajo.,"# El período histórico al que pertenece este objeto (por ejemplo, ""Período colonial"", ""Siglo XIX"").",# En formato AAAA — para filtrar y ordenar cronológicamente.,"# El medio o género del objeto (por ejemplo, ""Mapa"", ""Fotografía"", ""Grabado"").",# Términos separados por comas para filtrado de galería,"# Esto se mostrará encima del visor, a menos que indiques lo contrario en _config.yml.","# Línea de atribución que se muestra en el sitio publicado (por ejemplo, ""Cortesía de la Biblioteca de UCSB"").","# Telar genera miniaturas automáticamente, pero puedes anular este comportamiento especificando un archivo de imagen en esta columna."
camscanner-52026-12072124page0001,April 28 Letter,April 28 Letter,,,,,,,,,,,,
camscanner-52026-12072125page0001,April 28 Letter,April 28 Letter,,,,,,,,,,,,
camscanner-52026-12072137page0001,YBG Letter,YBG Letter,,,,,,,,,,,,
camscanner-52026-12072138page0001,YBG Letter,YBG Letter,,,,,,,,,,,,
camscanner-52026-12072139page0001,YBG Letter,YBG Letter,,,,,,,,,,,,
camscanner-52026-12072143page0001,Chicano Studies letter to hunger striker negotiators 5/5,Chicano Studies letter to hunger striker negotiators 5/5,,,,,,,,,,,,
camscanner-52026-12072149page0001,"El Congreso letter to Student Orgs ""Take back Ch St"" Rally","El Congreso letter to Student Orgs ""Take back Ch St"" Rally",,,,,,,,,,,,
camscanner-52026-12072150page0001,Lack of Department Autonomy,Lack of Department Autonomy,,,,,,,,,,,,
camscanner-52026-120724page0001,Parents join negotiations,Parents join negotiations,,,,,,,,,,,,
camscanner-52026-1207266page0001,Hunger Strike Preparation,Hunger Strike Preparation,,,,,,,,,,,,
camscanner-52026-1207267page0001,Hunger Strike Preparation,Hunger Strike Preparation,,,,,,,,,,,,
camscanner-52026-1207268page0001,Hunger Strike Resolution,Hunger Strike Resolution,,,,,,,,,,,,
camscanner-52026-1207269page0001,Hunger Strike Resolution,Hunger Strike Resolution,,,,,,,,,,,,
camscanner-52026-1207270page0001,Hunger Strike Resolution,Hunger Strike Resolution,,,,,,,,,,,,
camscanner-52026-1207271page0001,Hunger Strike Resolution,Hunger Strike Resolution,,,,,,,,,,,,
camscanner-52026-1207272page0001,Hunger Strike Resolution,Hunger Strike Resolution,,,,,,,,,,,,
camscanner-52026-1207273page0001,Hunger Strike Resolution,Hunger Strike Resolution,,,,,,,,,,,,
camscanner-52026-1207274page0001,Hunger Strike Resolution,Hunger Strike Resolution,,,,,,,,,,,,
camscanner-52026-1207275page0001,Hunger Strike Resolution,Hunger Strike Resolution,,,,,,,,,,,,
camscanner-52026-1207276page0001,Hunger Strike Resolution,Hunger Strike Resolution,,,,,,,,,,,,
screenshot-20260531-at-120054-am,El Congreso List of Demands,Screenshot 2026-05-31 at 12.00.54 AM,,,,,,,,,,,,
screenshot-20260531-at-122226-am,Status of Hunger Strike Demands,Screenshot 2026-05-31 at 12.22.26 AM,,,,,,,,,,,,
screenshot-20260531-at-122608-am,Hunger Strike Declaration 1/2,Screenshot 2026-05-31 at 12.26.08 AM,,,,,,,,,,,,
screenshot-20260531-at-122634-am,Hunger Strike Declaration 2/2,Screenshot 2026-05-31 at 12.26.34 AM,,,,,,,,,,,,
screenshot-20260531-at-51221-am,El Congreso demands,El Congreso demands,,,,,,,,,,,,
screenshot-20260531-at-53642-am,Hunger Strike resolution 5/6/1994,Hunger Strike resolution 5/6/1994,,,,,,,,,,,,
telar-placeholder,Telar placeholder,Telar placeholder,,Adelaida Ávila,,,,2026,,,,,,
